train_language,test_language,features,model,n_train,n_test,accuracy,wf1,uar,within_language_uar_target,transfer_gap
urdu,sindhi,eGeMAPS,SVM-RBF,734,701,0.2724679029957204,0.2733871756792677,0.2734403142675842,0.4915,0.2180596857324158
urdu,sindhi,eGeMAPS,RandomForest,734,701,0.268188302425107,0.2658989523007197,0.26874376559284785,0.4915,0.22275623440715214
urdu,sindhi,eGeMAPS,MLP,734,701,0.21255349500713266,0.19918473957005034,0.21431274275575624,0.4915,0.27718725724424376
sindhi,urdu,eGeMAPS,SVM-RBF,701,734,0.2506811989100817,0.25556521111740765,0.25030316286894844,0.3931,0.14279683713105157
sindhi,urdu,eGeMAPS,RandomForest,701,734,0.26430517711171664,0.2625697136817347,0.262245918829729,0.3931,0.13085408117027103
sindhi,urdu,eGeMAPS,MLP,701,734,0.2220708446866485,0.2173683173127721,0.21809820627654153,0.3931,0.17500179372345848
urdu,sindhi,ComParE,SVM-RBF,734,701,0.20970042796005706,0.19484167198880226,0.21458604137966178,0.5573,0.34271395862033827
urdu,sindhi,ComParE,RandomForest,734,701,0.21112696148359486,0.20311457503507577,0.21429980153286352,0.5573,0.3430001984671365
urdu,sindhi,ComParE,MLP,734,701,0.20970042796005706,0.2019351615811031,0.21219334237919765,0.5573,0.3451066576208024
sindhi,urdu,ComParE,SVM-RBF,701,734,0.22615803814713897,0.2266847404100723,0.22956773775391826,0.5248,0.2952322622460818
sindhi,urdu,ComParE,RandomForest,701,734,0.19209809264305178,0.19012336544077085,0.19708012023454446,0.5248,0.3277198797654556
sindhi,urdu,ComParE,MLP,701,734,0.2329700272479564,0.23502955262728598,0.2305969300803231,0.5248,0.29420306991967693
urdu,sindhi,IS09,SVM-RBF,734,701,0.2524964336661912,0.23973212603277724,0.2581869437847427,0.5159,0.2577130562152573
urdu,sindhi,IS09,RandomForest,734,701,0.2225392296718973,0.2172440643426191,0.2243453796529827,0.5159,0.2915546203470173
urdu,sindhi,IS09,MLP,734,701,0.2268188302425107,0.21875413782916986,0.22886784496807405,0.5159,0.287032155031926
sindhi,urdu,IS09,SVM-RBF,701,734,0.21662125340599456,0.2207347940549974,0.21833794546579094,0.4961,0.27776205453420905
sindhi,urdu,IS09,RandomForest,701,734,0.18119891008174388,0.18380282249747543,0.18506255637111105,0.4961,0.31103744362888897
sindhi,urdu,IS09,MLP,701,734,0.22615803814713897,0.22866601625618269,0.22631011695545178,0.4961,0.2697898830445482
urdu,sindhi,IS10,SVM-RBF,734,701,0.2553495007132668,0.24162888761397874,0.25996991648277035,0.5699,0.3099300835172296
urdu,sindhi,IS10,RandomForest,734,701,0.24108416547788872,0.2329889529605811,0.24431743502571365,0.5699,0.3255825649742863
urdu,sindhi,IS10,MLP,734,701,0.2225392296718973,0.21808613458498882,0.22461918209178572,0.5699,0.34528081790821424
sindhi,urdu,IS10,SVM-RBF,701,734,0.21934604904632152,0.22292378389692694,0.223715368322612,0.5526,0.328884631677388
sindhi,urdu,IS10,RandomForest,701,734,0.2125340599455041,0.21500197328007664,0.21078182268660456,0.5526,0.3418181773133954
sindhi,urdu,IS10,MLP,701,734,0.22343324250681199,0.21937348354368813,0.22202886911457678,0.5526,0.3305711308854232
urdu,sindhi,Prosody,SVM-RBF,734,701,0.21825962910128388,0.21496273878336003,0.21917251996692405,0.376,0.15682748003307595
urdu,sindhi,Prosody,RandomForest,734,701,0.20970042796005706,0.2031227847851624,0.21340471665608435,0.376,0.16259528334391565
urdu,sindhi,Prosody,MLP,734,701,0.18972895863052783,0.16639339862041647,0.1884959107427375,0.376,0.1875040892572625
sindhi,urdu,Prosody,SVM-RBF,701,734,0.18528610354223432,0.18514851585264208,0.1913412099034333,0.3852,0.19385879009656667
sindhi,urdu,Prosody,RandomForest,701,734,0.20572207084468666,0.20435580286103336,0.2089448052110458,0.3852,0.17625519478895418
sindhi,urdu,Prosody,MLP,701,734,0.19482288828337874,0.1925405364057933,0.19655757277157343,0.3852,0.18864242722842656
