language,features,model,n_samples,n_features,n_classes,accuracy_mean,accuracy_std,wf1_mean,wf1_std,uar_mean,uar_std,paper_uar,delta_vs_paper
urdu,eGeMAPS,SVM-RBF,734,88,7,0.39919858354300625,0.011578940603627819,0.3971224491740937,0.014759107122709702,0.39307866409860526,0.013228213270013008,0.5696,-0.17652133590139474
urdu,eGeMAPS,RandomForest,734,88,7,0.37738328207995525,0.019482917160547487,0.3748489716811093,0.021328967758779745,0.3682793233790292,0.022740652849572034,0.5696,-0.2013206766209708
urdu,eGeMAPS,MLP,734,88,7,0.35833566303233616,0.034301064067580295,0.3537755779672659,0.039815228985457814,0.34722808338368977,0.03434271379885184,0.5696,-0.22237191661631023
urdu,ComParE,SVM-RBF,734,6373,7,0.538160469667319,0.018589257985924573,0.5321743232484393,0.01362187197714868,0.5247840922652953,0.015633250637991435,0.5696,-0.044815907734704674
urdu,ComParE,RandomForest,734,6373,7,0.5068959090485509,0.036155247259661384,0.5098908099260145,0.0313212065577157,0.5019647981236736,0.0330309507209008,0.5696,-0.06763520187632643
urdu,ComParE,MLP,734,6373,7,0.5150218991706272,0.021320574386576502,0.5115473585638484,0.016784987114712234,0.5064040441778264,0.019508759253047285,0.5696,-0.06319595582217363
urdu,IS09,SVM-RBF,734,384,7,0.5107911657813811,0.04631776857265403,0.5058574244217126,0.04624022574348544,0.49613523032123885,0.04732055598341042,0.5696,-0.07346476967876114
urdu,IS09,RandomForest,734,384,7,0.4944646351691362,0.043138481278367655,0.49177378001275845,0.04109736507310104,0.4878575367460624,0.038834750396544264,0.5696,-0.08174246325393758
urdu,IS09,MLP,734,384,7,0.44815021899170626,0.03896607946830198,0.4442304857031239,0.03998451681751191,0.43832493194212707,0.04356287070504297,0.5696,-0.13127506805787292
urdu,IS10,SVM-RBF,734,1582,7,0.5680924424564346,0.01542708596470674,0.5619944279539094,0.014884053424643596,0.5526470868494406,0.014423571206897879,0.5696,-0.016952913150559357
urdu,IS10,RandomForest,734,1582,7,0.5041095890410958,0.016183891621497103,0.5014500594892064,0.016479985592984747,0.4917765428062911,0.01350740166941839,0.5696,-0.07782345719370892
urdu,IS10,MLP,734,1582,7,0.5108191221694158,0.03442291097139843,0.5048891350510522,0.03645076882240568,0.49318378762641596,0.035581693760769736,0.5696,-0.07641621237358404
urdu,Prosody,SVM-RBF,734,35,7,0.33653899916130836,0.0229995437139759,0.3339969085887522,0.02593574735438022,0.33586365688359804,0.024022847769721693,0.5696,-0.23373634311640196
urdu,Prosody,RandomForest,734,35,7,0.3882396794334172,0.025911106276430743,0.38792195932962953,0.02754600310793535,0.3852480226540377,0.026844418139167204,0.5696,-0.18435197734596231
urdu,Prosody,MLP,734,35,7,0.26970459416643366,0.022071693764295065,0.2510203639025482,0.028538015970324748,0.25194416023118216,0.021721554109834812,0.5696,-0.31765583976881784
sindhi,eGeMAPS,SVM-RBF,701,88,7,0.4907598784194529,0.01551712665688145,0.4885874942501761,0.01349516095236658,0.4914522696950634,0.015547526630003123,0.5529,-0.061447730304936554
sindhi,eGeMAPS,RandomForest,701,88,7,0.4436474164133739,0.04093858225353945,0.4401434794687057,0.040110588835165155,0.44273888502769526,0.04094295053513094,0.5529,-0.11016111497230469
sindhi,eGeMAPS,MLP,701,88,7,0.40519756838905774,0.05336631279246298,0.4011459344289765,0.053997940606327295,0.40267830549458533,0.05341348946805205,0.5529,-0.15022169450541462
sindhi,ComParE,SVM-RBF,701,6373,7,0.5463120567375886,0.04393753901812889,0.546000234850732,0.04267272700639362,0.5444760253453022,0.042219826911306824,0.5529,-0.008423974654697797
sindhi,ComParE,RandomForest,701,6373,7,0.5435157041540021,0.04598669125945202,0.5430048149370155,0.04546824721484271,0.5427519123591467,0.04440483854299959,0.5529,-0.010148087640853287
sindhi,ComParE,MLP,701,6373,7,0.5577102330293819,0.042244689109785676,0.5563877451435303,0.0450203313860429,0.557287902193677,0.043028125574198856,0.5529,0.004387902193677018
sindhi,IS09,SVM-RBF,701,384,7,0.5149848024316108,0.01161141964995092,0.5153039922079289,0.01529294184135845,0.5159405165575002,0.014714832959034094,0.5529,-0.036959483442499774
sindhi,IS09,RandomForest,701,384,7,0.49925025329280653,0.021670484377372755,0.49549956249003213,0.020478666675643575,0.5007034194303198,0.0241962475274674,0.5529,-0.05219658056968013
sindhi,IS09,MLP,701,384,7,0.4649949341438703,0.0623650962189847,0.46031031633481356,0.06386743509864427,0.46535186462075295,0.06235427578694066,0.5529,-0.087548135379247
sindhi,IS10,SVM-RBF,701,1582,7,0.5691691995947316,0.05214889442961235,0.5699638373428458,0.05206248007514225,0.5699077922549645,0.05222733416748319,0.5529,0.017007792254964516
sindhi,IS10,RandomForest,701,1582,7,0.5591691995947315,0.02149592648840404,0.5555209209255618,0.025073457960074295,0.5579674875289552,0.0213533685940375,0.5529,0.00506748752895525
sindhi,IS10,MLP,701,1582,7,0.554934143870314,0.04188326079512258,0.552685985263736,0.04815518180807418,0.5548135745526281,0.039669620627872736,0.5529,0.0019135745526281944
sindhi,Prosody,SVM-RBF,701,35,7,0.36669706180344475,0.02890807796897121,0.3648377881869813,0.02781017875138261,0.3689289766249749,0.028450012383114797,0.5529,-0.18397102337502502
sindhi,Prosody,RandomForest,701,35,7,0.37516717325227966,0.02437902195735648,0.3749182069989295,0.02479774578297303,0.375999133444377,0.023627420198644646,0.5529,-0.17690086655562293
sindhi,Prosody,MLP,701,35,7,0.3381560283687943,0.03080379453969975,0.3305847681158648,0.030971876816533662,0.3336864433034846,0.031028864435566145,0.5529,-0.21921355669651532
